Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
Drake,50162292808,19246513666,262,6,130,2022-09-19
Bad Bunny,44369032140,5391990975,163,5,118,2022-09-20
Ed Sheeran,38153682361,2791278201,240,10,62,2022-09-19
The Weeknd,34767779741,4288903657,186,8,72,2022-09-19
Taylor Swift,32596728109,424053296,323,1,96,2022-09-20
Justin Bieber,32465998885,10816202075,225,6,58,2022-09-20
Ariana Grande,32287682040,2052297828,181,8,71,2022-09-19
Eminem,30431861291,4165031640,301,5,65,2022-09-19
Post Malone,29832277109,2728018288,98,9,57,2022-09-19
BTS,28533458128,323205288,262,1,98,2022-09-19
J Balvin,25892190469,9950347777,242,3,66,2022-09-19
Kanye West,25535119184,5767153127,239,1,63,2022-09-20
Billie Eilish,23684986780,0,65,4,47,2022-09-20
Juice WRLD,23114066243,3751941085,116,3,60,2022-09-19
Coldplay,22214835214,0,299,5,34,2022-09-20
Dua Lipa,22186290470,349750231,198,7,36,2022-09-19
Imagine Dragons,21812218476,65400698,189,4,41,2022-09-19
XXXTENTACION,21726799289,2664663104,144,7,44,2022-09-18
Ozuna,21119272574,7514655612,215,1,51,2022-09-17
Khalid,20973735166,2923419376,119,7,40,2022-09-15
Rihanna,20761226681,6677097087,278,2,46,2022-09-19
Travis Scott,20566427073,9662107113,113,4,49,2022-09-17
Maroon 5,19952566778,18447,240,7,31,2022-09-17
David Guetta,19104897589,1131603410,705,1,46,2022-09-19
Shawn Mendes,18964777185,46809153,126,5,34,2022-09-19
Bruno Mars,18201285113,3874562483,81,5,32,2022-09-06
Daddy Yankee,18075604863,5656394885,360,4,44,2022-09-16
Calvin Harris,17820311936,419338360,238,3,29,2022-09-03
Kendrick Lamar,17650726013,8647763108,121,2,41,2022-09-19
Sam Smith,16883863013,277349953,145,4,31,2022-09-19
Queen,16557204478,35125587,557,4,24,2022-09-20
Beyoncé,15593114022,1949901038,366,1,36,2022-09-19
Adele,15561219687,74107163,71,5,28,2022-09-19
Future,15552849123,9255946718,504,1,29,2022-09-17
One Direction,15499795436,0,124,0,45,2022-09-19
The Chainsmokers,15484677966,400919869,197,4,27,2022-09-13
Chris Brown,15440015429,7787759348,427,0,38,2022-09-19
Lady Gaga,14897662581,94739265,314,1,27,2022-09-19
J. Cole,14849857590,3309086106,137,1,39,2022-09-20
Nicki Minaj,14744100678,10558501637,171,2,35,2022-09-19
Anuel AA,14364736608,4592555695,160,1,35,2022-09-19
Halsey,14151726087,2459831429,180,3,24,2022-09-12
The Beatles,14001404418,0,792,0,39,2022-09-19
Selena Gomez,13905383000,2075330489,140,3,24,2022-09-19
Sia,13601270394,3054317056,323,2,26,2022-09-19
Maluma,13551469480,7414576492,195,0,34,2022-08-18
Harry Styles,13347420670,0,39,4,35,2022-09-20
Marshmello,13049327287,641714533,163,4,19,2022-09-15
Lil Uzi Vert,12985704210,8235141311,140,1,33,2022-09-19
Linkin Park,12970759855,47851519,350,2,30,2022-09-18
Twenty One Pilots,12949146668,0,90,3,36,2022-09-18
Rauw Alejandro,12914088970,1924490635,182,0,34,2022-09-18
Katy Perry,12631477879,1217714183,180,0,30,2022-09-19
Kygo,12519097847,1133263396,107,1,30,2022-09-09
Avicii,12484875427,456987347,248,3,18,2022-09-20
Lana Del Rey,12457976768,801314209,166,0,37,2022-09-19
Farruko,11983825654,6531990862,343,1,31,2022-07-31
Doja Cat,11973361879,1669029614,85,3,25,2022-09-19
Camila Cabello,11822254851,2188298508,61,2,24,2022-09-19
Jason Derulo,11262694386,742144326,197,0,28,2022-09-08
Arctic Monkeys,11249748739,0,134,1,24,2022-09-19
KAROL G,11177377040,553732559,85,2,29,2022-09-20
Red Hot Chili Peppers,11005993478,0,266,0,17,2022-09-18
Shakira,10782631210,1255591184,232,1,25,2022-09-19
Demi Lovato,10668611459,1425100886,251,1,23,2022-09-19
Miley Cyrus,9940559934,931030339,197,1,17,2022-09-18
OneRepublic,9926540057,219314451,167,1,27,2022-08-28
Nicky Jam,9861155500,9052517716,220,0,27,2022-07-31
Michael Jackson,9754680636,547196557,327,1,21,2022-09-19
Lil Baby,9670090585,8736714891,181,1,21,2022-09-19
Myke Towers,9667486409,4145835762,168,0,28,2022-09-20
Charlie Puth,9570632839,231391689,109,3,14,2022-09-20
Pitbull,9426002918,3062823873,394,1,21,2022-09-10
Martin Garrix,9390213325,87715051,199,2,19,2022-09-17
Sebastian Yatra,9365402828,850201743,126,0,30,2022-09-19
DaBaby,9326324913,4757336377,157,2,18,2022-09-18
21 Savage,9289820129,6019152179,162,0,24,2022-09-19
Mac Miller,9187372325,699621455,221,0,21,2022-09-13
Panic! At The Disco,9107446450,669606481,146,1,20,2022-09-06
Pop Smoke,9097323859,930302921,99,0,19,2022-09-06
Cardi B,9066363643,6163998179,70,2,18,2022-09-17
Sech,9011436885,2900320709,123,0,25,2022-07-31
Lil Wayne,8970128688,14160244567,476,0,19,2022-09-17
Young Thug,8956248071,9576540270,366,0,20,2022-09-17
Olivia Rodrigo,8954631138,1691988,37,2,13,2022-09-19
Metallica,8890283866,7116668,814,0,16,2022-09-19
G-Eazy,8847885490,2309356739,224,1,17,2022-08-25
Ellie Goulding,8826849897,639400676,167,1,16,2022-09-06
Lil Nas X,8778149366,0,34,3,11,2022-09-16
Major Lazer,8758754488,614069138,269,3,14,2022-09-05
Alan Walker,8727932813,1852490942,170,1,18,2022-09-01
Wiz Khalifa,8695422254,7040015281,461,1,19,2022-09-18
Lil Peep,8691721490,335277695,104,0,23,2022-09-18
Diplo,8496096848,1757002014,397,0,24,2022-09-13
Fall Out Boy,8451431705,38756715,199,0,18,2022-09-13
Elton John,8437442330,318323546,936,1,17,2022-09-19
AC/DC,8283420177,0,313,3,10,2022-09-19
P!nk,8243802966,663799734,227,0,23,2022-09-18
John Mayer,8243443329,514893335,208,0,20,2022-09-16
Logic,8221159539,1940369157,193,1,14,2022-09-11
Migos,8212730428,3413743336,283,0,18,2022-09-20
Trippie Redd,8169854684,3237110398,197,0,24,2022-09-15
Gunna,8136453038,4669227285,178,2,15,2022-09-14
Tyga,8136081475,4144077151,303,1,20,2022-07-31
James Arthur,8094663482,77343574,147,1,14,2022-09-18
Little Mix,8025705397,12393008,205,0,21,2022-09-20
Macklemore,7934784607,83073903,103,1,13,2022-09-20
ZAYN,7926581878,238814490,85,3,16,2022-09-18
DJ Snake,7893987604,1942695289,142,2,11,2022-07-31
Lauv,7860150086,147385883,108,1,21,2022-08-12
Kodak Black,7853951418,1969874771,243,0,16,2022-09-19
"Tyler, The Creator",7852572852,1592057360,154,0,21,2022-09-18
Frank Ocean,7842180179,2342080949,45,0,23,2022-09-19
A$AP Rocky,7788610912,5156511594,99,0,19,2022-09-20
YoungBoy Never Broke Again,7762762379,1355024452,416,0,8,2022-09-19
NF,7715473739,135847234,81,1,18,2022-09-12
Tiësto,7713821346,760009949,653,0,16,2022-08-21
5 Seconds of Summer,7672003639,523602841,165,1,14,2022-09-19
A Boogie Wit da Hoodie,7634446872,3249718029,138,0,17,2022-09-14
Zedd,7585730125,1008114646,139,3,14,2022-08-21
Romeo Santos,7485543396,1125011362,146,0,21,2022-09-16
Robin Schulz,7470013873,315457501,224,1,15,2022-09-04
Green Day,7403734026,536841,374,0,13,2022-09-16
$uicideboy$,7392060042,255581637,313,0,13,2022-09-18
Nirvana,7295132559,1137194,347,1,14,2022-09-19
SZA,7269204057,2147963882,49,2,18,2022-09-19
Luis Miguel,7267478981,2583720,312,0,17,2022-09-16
DJ Khaled,7262608327,195727208,186,1,14,2022-09-02
Metro Boomin,7262115562,209872990,118,1,18,2022-07-31
Justin Timberlake,7225331308,2167168755,172,1,13,2022-09-18
Bob Marley & The Wailers,7206364367,56737031,618,0,13,2022-08-29
BLACKPINK,7206360244,526346942,103,0,22,2022-09-19
Machine Gun Kelly,7175506952,1017993010,141,0,14,2022-09-15
blackbear,7107987469,1743247445,162,1,14,2022-08-22
Black Eyed Peas,7055175439,88656205,213,0,13,2022-09-18
Anne-Marie,6995284822,797700433,136,3,12,2022-09-19
Lewis Capaldi,6958006277,1385,48,2,10,2022-08-31
Clean Bandit,6956364284,24677721,176,3,10,2022-07-31
JAY-Z,6923840435,5959218358,306,0,13,2022-09-17
Marília Mendonça,6909001088,1549217519,122,0,23,2022-09-20
Zara Larsson,6878581725,510565925,85,2,13,2022-09-13
Bebe Rexha,6836453644,3954204862,113,2,14,2022-09-13
Anitta,6801733116,1407362033,175,0,20,2022-09-02
Enrique Iglesias,6764228183,340675073,282,0,13,2022-09-18
Fleetwood Mac,6753161276,563244,768,1,11,2022-09-13
The Rolling Stones,6727427341,6784031,1073,0,14,2022-09-17
The Neighbourhood,6718687991,1183878,90,1,12,2022-08-12
Pink Floyd,6714780376,0,436,0,13,2022-09-16
Britney Spears,6671486096,689481019,292,0,19,2022-09-19
Michael Bublé,6667559320,313876033,239,0,18,2022-09-12
The Kid LAROI,6647734218,847871845,49,1,16,2022-09-16
Guns N' Roses,6615411211,55151,139,1,10,2022-09-19
Flo Rida,6555092666,1786418102,229,0,11,2022-07-31
Camilo,6519784854,887878975,49,0,20,2022-09-13
Ty Dolla $ign,6503653017,10647843904,191,0,14,2022-09-03
Kid Cudi,6488863340,1505742485,160,0,12,2022-09-08
Disney,6480840953,819435187,529,0,14,2022-07-31
Becky G,6434404802,1302187576,110,0,16,2022-09-19
Jonas Blue,6422049491,111388929,165,0,9,2022-07-31
Russ,6409448257,120435639,368,0,14,2022-08-31
Luis Fonsi,6388525172,444209070,187,2,10,2022-08-11
2Pac,6328173362,345066838,316,0,16,2022-09-06
Reik,6327803667,330177113,172,0,16,2022-07-31
50 Cent,6248846278,2758573236,185,0,14,2022-09-16
Childish Gambino,6247735359,604415192,86,1,13,2022-08-18
Gorillaz,6243417623,1329013,283,0,11,2022-09-17
Ava Max,6182963810,222536835,105,1,15,2022-09-19
Jhay Cortez,6170553828,1249018420,82,1,11,2022-08-20
Bastille,6158728878,156539720,205,2,10,2022-09-09
Joji,6150774573,723433712,52,0,17,2022-09-19
Polo G,6136158071,2095079434,75,0,14,2022-07-31
Lorde,6006934967,286523906,57,0,19,2022-09-19
Usher,5981518153,3241074771,257,0,15,2022-09-15
Hozier,5967126876,0,69,1,14,2022-09-18
David Bowie,5960976370,35086750,1315,1,12,2022-09-13
Banda MS de Sergio Lizárraga,5924856095,5520822,216,0,19,2022-07-31
Luke Combs,5890199848,150384172,68,0,15,2022-08-21
Mariah Carey,5888465193,401002898,660,1,12,2022-09-20
Skrillex,5881756686,1640865351,149,0,14,2022-07-31
Christian Nodal,5835820936,409256344,69,0,18,2022-08-20
Big Sean,5791066758,6189567932,153,0,13,2022-09-04
The Killers,5774550053,359729,213,1,11,2022-09-18
Alessia Cara,5768256100,2748095478,138,2,8,2022-09-04
Foo Fighters,5761240710,0,237,0,12,2022-09-15
Playboi Carti,5756121719,1679604284,82,0,14,2022-09-17
French Montana,5687956941,3407044954,672,1,11,2022-08-05
Tory Lanez,5657531451,2622981646,256,0,12,2022-09-08
U2,5622227589,303372985,522,0,8,2022-09-18
Manuel Turizo,5610907877,2311637889,66,0,17,2022-08-26
Meek Mill,5609538227,1900550120,440,0,9,2022-09-12
Jack Harlow,5606152807,315806334,96,1,10,2022-09-12
blink-182,5568505079,66190562,185,0,10,2022-09-14
Led Zeppelin,5554421214,118988,241,0,13,2022-09-18
Daft Punk,5551691330,3320364189,190,0,12,2022-08-24
Radiohead,5531324257,2206126,233,0,8,2022-09-18
Jorge & Mateus,5486263204,1108375019,280,0,11,2022-09-12
Henrique & Juliano,5466963460,812748773,177,0,14,2022-09-12
Roddy Ricch,5446354074,3489978704,61,1,15,2022-09-20
Elvis Presley,5442877510,5634626,1855,0,11,2022-09-03
Meghan Trainor,5418874209,1025879971,141,0,11,2022-09-18
Paulo Londra,5408739140,119832137,37,0,16,2022-09-16
Labrinth,5408385063,396587742,149,0,14,2022-07-31
John Legend,5384405995,2403169234,249,1,8,2022-07-31
Frank Sinatra,5382091415,77042747,2171,0,13,2022-08-14
Don Omar,5374011725,1957856299,237,0,13,2022-09-08
Morgan Wallen,5345429164,521301528,60,0,17,2022-09-13
System Of A Down,5306747245,997641,83,0,10,2022-08-18
Megan Thee Stallion,5274621614,1656164329,131,1,12,2022-09-19
Rita Ora,5257167753,709421106,133,0,14,2022-09-19
The 1975,5232430866,156055221,136,0,13,2022-09-13
Rae Sremmurd,5226974030,544047899,62,0,13,2022-09-08
Tame Impala,5214042684,174098397,101,1,11,2022-09-20
Melanie Martinez,5194199440,5232238,58,0,17,2022-09-19
TWICE,5181586735,39496270,220,0,13,2022-09-17
Muse,5181150140,6402079,253,0,11,2022-09-10
Gucci Mane,5179422858,4905865217,2117,0,5,2022-08-17
Jack Johnson,5176854131,39660958,190,0,9,2022-09-07
The Notorious B.I.G.,5171977853,699574957,185,0,12,2022-07-31
Troye Sivan,5103726645,873635526,105,0,12,2022-09-19
Bon Jovi,5101338141,1335247,329,1,9,2022-09-17
Paramore,5095348178,0,114,0,11,2022-09-14
Mumford & Sons,5088124853,18747880,121,0,12,2022-09-15
ABBA,5004152913,146654,160,0,14,2022-09-01
6ix9ine,4988907666,1117326282,57,0,16,2022-09-14
Slipknot,4980473881,0,208,0,10,2022-08-11
Bazzi,4941186159,62540256,39,0,12,2022-07-31
Gusttavo Lima,4938141476,876355276,287,0,9,2022-08-26
Oasis,4924851582,1134,237,1,7,2022-09-19
Morat,4919640815,436178161,74,0,15,2022-08-31
Sean Paul,4910936441,3853999824,400,0,10,2022-07-31
Felix Jaehn,4901374743,194535961,172,1,12,2022-07-31
The Lumineers,4894719810,0,86,0,8,2022-08-29
Justin Quiles,4878976278,4310489285,163,0,14,2022-07-31
Dalex,4871872181,1036388958,129,0,15,2022-09-03
Duki,4869537547,937757024,147,0,13,2022-09-12
Swae Lee,4836929180,5692666319,59,1,10,2022-07-31
Hailee Steinfeld,4815845560,606712238,31,1,10,2022-09-19
Julia Michaels,4811539257,1690872391,65,1,7,2022-09-16
Rammstein,4781710534,3762124,245,0,10,2022-08-27
Alicia Keys,4777678003,1427914798,253,0,8,2022-09-17
Alok,4738018362,231488539,212,0,12,2022-08-29
Madonna,4718747892,138810390,762,0,7,2022-09-20
Jess Glynne,4712325038,543326342,82,1,10,2022-09-18
Zion & Lennox,4710887632,2887125495,159,0,11,2022-07-31
Disclosure,4690114197,24281620,186,0,7,2022-07-31
Christina Aguilera,4686000540,1808585763,281,0,9,2022-08-19
Kings of Leon,4669462543,0,121,0,8,2022-09-18
6LACK,4650333571,952817602,79,0,10,2022-09-03
Cheat Codes,4629305378,313902252,151,0,7,2022-07-31
Tove Lo,4629278952,1360259448,144,0,7,2022-09-09
Creedence Clearwater Revival,4623595600,0,145,0,11,2022-08-23
Florence + The Machine,4614759836,378905,160,0,9,2022-09-18
Florida Georgia Line,4609041041,2478742591,124,0,15,2022-08-21
My Chemical Romance,4607083284,0,139,0,11,2022-09-14
Alesso,4597495128,137641031,129,0,10,2022-08-13
Arijit Singh,4573567798,939497796,572,0,4,2022-09-01
Glass Animals,4554159224,4423329,109,1,6,2022-09-15
The Script,4553052747,1343266,99,1,8,2022-09-12
Zé Neto & Cristiano,4540609590,463313203,169,0,13,2022-09-12
Whitney Houston,4519561495,14222939,282,0,9,2022-09-19
Chance the Rapper,4517223691,3118921754,105,0,12,2022-09-05
Piso 21,4511325667,62804762,86,0,12,2022-07-31
Five Finger Death Punch,4506617068,0,138,0,9,2022-07-31
Bruce Springsteen,4480464759,47313864,821,0,10,2022-09-11
Arcangel,4475257907,5081836495,244,0,11,2022-08-11
Nickelback,4469299972,0,150,0,12,2022-09-06
Fifth Harmony,4468944634,184240949,75,1,7,2022-09-19
Lenny Tavárez,4449161492,3924285642,94,0,10,2022-07-31
Jason Mraz,4439148339,98804484,238,1,6,2022-07-31
Galantis,4427621050,102139066,243,0,8,2022-07-31
Avril Lavigne,4418987832,25567335,154,0,10,2022-09-10
Glee Cast,4375931294,0,723,0,0,2022-08-23
Bring Me The Horizon,4372894185,85729842,141,0,11,2022-09-19
Ne-Yo,4368629006,2245144528,204,0,10,2022-07-31
Lil Durk,4367616218,3009354038,359,0,6,2022-09-17
Kane Brown,4364488364,29797048,98,0,10,2022-07-31
Kehlani,4361626721,2028969469,124,0,10,2022-08-09
Kevin Gates,4359021971,739286985,314,0,6,2022-08-07
Niall Horan,4338726666,517135427,69,0,11,2022-09-19
Bryson Tiller,4330601767,1295854047,70,0,8,2022-09-05
Jonas Brothers,4329888033,498204068,95,1,9,2022-08-07
Bizarrap,4326642648,503968381,87,0,12,2022-09-14
Capital Bra,4317253980,673800705,276,0,9,2022-08-07
Lil Tjay,4313086274,1884183028,65,0,11,2022-07-31
Snoop Dogg,4300203668,6192858304,726,1,7,2022-08-25
Macklemore & Ryan Lewis,4290529937,4265483,48,1,6,2022-09-04
Lil Tecca,4273063329,302858918,79,1,11,2022-09-12
Luke Bryan,4267128439,540870550,149,0,14,2022-08-01
Natti Natasha,4253199571,2141323366,93,0,9,2022-09-17
Wisin,4226257427,5360562962,131,0,10,2022-08-18
Aerosmith,4219398737,0,318,0,9,2022-09-17
Vance Joy,4216274820,0,87,1,9,2022-08-01
Kelly Clarkson,4206190955,231077825,329,0,8,2022-09-20
Alejandro Fernández,4201269620,352247735,313,0,11,2022-07-31
Stevie Wonder,4196723912,301358086,657,0,11,2022-09-11
Jennifer Lopez,4186796728,1097279258,240,0,13,2022-09-18
Johnny Cash,4174390143,163740766,1679,0,7,2022-08-19
Maná,4119964379,63757921,220,0,12,2022-08-18
Thomas Rhett,4112832625,247574441,120,0,15,2022-08-09
Ryan Lewis,4110355782,43371022,33,1,6,2022-07-31
Hans Zimmer,4092359874,119832137,1545,0,3,2022-07-31
NAV,4088499280,396587742,117,0,10,2022-09-08
Lil Pump,4054627650,2403169234,74,0,10,2022-07-31
Pearl Jam,4052231789,77042747,2127,0,9,2022-07-31
James Bay,4051355922,1957856299,90,0,9,2022-08-12
Disturbed,4034857022,521301528,173,0,6,2022-07-31
YG,4034206176,997641,198,0,8,2022-07-31
Amy Winehouse,4024161318,1656164329,157,0,7,2022-09-17
Wisin & Yandel,4004531845,709421106,293,0,12,2022-07-31
YNW Melly,3991996348,156055221,83,0,9,2022-07-31
Lil Skies,3968361888,544047899,75,0,9,2022-08-22
Nio Garcia,3960430779,174098397,124,0,7,2022-07-31
Tones And I,3957800698,5232238,33,1,5,2022-09-17
Kesha,3955337905,39496270,139,0,10,2022-09-15
Backstreet Boys,3949466238,6402079,145,1,8,2022-09-18
Aventura,3943857084,4905865217,123,0,12,2022-09-01
Flume,3942056858,39660958,145,0,9,2022-07-31
Dr. Dre,3941098327,699574957,75,0,8,2022-09-19
Miguel,3933509386,873635526,145,0,8,2022-07-31
Jul,3931452487,1335247,572,0,0,2022-09-18
Lizzo,3911061177,0,79,0,8,2022-09-12
Billy Joel,3885486622,18747880,383,0,10,2022-08-16
ROSALÍA,3871106303,146654,61,0,8,2022-09-20
Calibre 50,3859723768,1117326282,226,0,10,2022-08-25
Phil Collins,3836785174,0,339,0,9,2022-08-14
